,BoroCT,2011 Household Median Income
1123,1002202,89191
1124,1002400,25662
1125,1002500,16081
1126,1002601,35161
1127,1002602,50169
1128,1002700,51550
1129,1002800,41155
1130,1002900,27227
1131,1003001,59250
1132,1003002,41935
1133,1003100,135573
1134,1003200,54820
1135,1003300,164656
1136,1003400,63469
1137,1003601,39643
1138,1003602,55565
1139,1003700,75556
1140,1003800,54365
1141,1003900,77200
1142,1004000,81466
1143,1004100,28250
1144,1004200,118229
1145,1004300,67449
1146,1004400,88595
1147,1004500,133886
1148,1004700,88487
1149,1004800,90241
1150,1004900,92500
1151,1005000,109637
1152,1005200,152014
1153,1005400,150110
1154,1005501,100368
1155,1005502,116250
1156,1005600,120766
1157,1005700,139236
1158,1005800,138750
1159,1005900,95926
1160,1006000,101369
1161,1006100,116471
1162,1006200,71111
1163,1006300,114963
1164,1006400,85098
1165,1006500,71121
1166,1006600,74382
1167,1006700,74706
1168,1006800,98555
1169,1006900,156719
1170,1007000,105903
1171,1007100,118057
1172,1007200,91431
1173,1007300,104857
1174,1007400,134531
1175,1007500,107978
1176,1007600,76659
1177,1007700,85859
1178,1007800,112768
1179,1007900,132054
1180,1008000,115148
1181,1008100,94292
1182,1008200,106273
1183,1008300,49750
1184,1008400,129625
1185,1008601,127000
1186,1008602,-
1187,1008603,155417
1188,1008700,110642
1189,1008800,95095
1190,1008900,82500
1191,1009000,110982
1192,1009100,114655
1193,1009200,131786
1194,1009300,71862
1195,1009400,9750
1196,1009500,107375
1197,1009600,69250
1198,1009700,44611
1199,1009800,102817
1200,1009900,123631
1201,1010000,98977
1202,1010100,51827
1203,1010200,41010
1204,1010300,90938
1205,1010400,71618
1206,1010601,132475
1207,1010602,102981
1208,1010800,111339
1209,1010900,155278
1210,1011000,104835
1211,1011100,66513
1212,1011201,144659
1213,1011202,121250
1214,1011203,87675
1215,1011300,118487
1216,1011401,171000
1217,1011402,104911
1218,1011500,77796
1219,1011600,67962
1220,1011700,82188
1221,1011800,115556
1222,1011900,12430
1223,1012000,152353
1224,1012100,56764
1225,1012200,166071
1226,1012400,98514
1227,1012500,125787
1228,1012600,96789
1229,1012700,65045
1230,1012800,164688
1231,1012900,86875
1232,1013000,247167
1233,1013100,110147
1234,1013200,74014
1235,1013300,74063
1236,1013400,101900
1237,1013500,40231
1238,1013600,98179
1239,1013700,131250
1240,1013800,94622
1241,1013900,69175
1242,1014000,168661
1243,1014200,206708
1244,1014300,-
1245,1014401,128417
1246,1014402,82813
1247,1014500,157560
1248,1014601,100455
1249,1014602,94366
1250,1014700,96635
1251,1014801,158167
1252,1014802,104514
1253,1014900,142452
1254,1015001,125268
1255,1015002,172179
1256,1015100,77500
1257,1015200,82861
1258,1015300,123894
1259,1015400,81053
1260,1015500,109419
1261,1015601,86759
1262,1015602,44896
1263,1015700,95926
1264,1015801,141857
1265,1015802,83158
1266,1015900,115833
1267,1016001,184583
1268,1016002,82750
1269,1016100,120096
1270,1016200,29787
1271,1016300,103589
1272,1016400,31787
1273,1016500,122674
1274,1016600,37174
1275,1016700,108281
1276,1016800,28196
1277,1016900,106194
1278,1017000,41236
1279,1017100,129167
1280,1017200,33176
1281,1017300,103182
1282,1017401,24013
1283,1017402,31974
1284,1017500,133427
1285,1017700,50924
1286,1017800,33182
1287,1017900,75098
1288,1018000,23886
1289,1018100,77686
1290,1018200,28567
1291,1018300,75481
1292,1018400,25900
1293,1018500,80909
1294,1018600,19446
1295,1018700,68542
1296,1018800,31867
1297,1018900,33482
1298,1019000,55469
1299,1019100,88445
1300,1019200,16197
1301,1019300,34537
1302,1019400,17889
1303,1019500,88608
1304,1019600,15625
1305,1019701,107014
1306,1019702,57083
1307,1019800,70833
1308,1019900,57198
1309,1020000,64286
1310,1020101,57308
1311,1020102,40140
1312,1020300,26406
1313,1020500,105000
1314,1020600,33483
1315,1020701,30456
1316,1020800,34802
1317,1020901,24787
1318,1021000,34441
1319,1021100,51825
1320,1021200,55591
1321,1021303,42767
1322,1021400,36104
1323,1021500,31875
1324,1021600,39338
1325,1021703,-
1326,1021800,40058
1327,1021900,17306
1328,1022000,35885
1329,1022102,51005
1330,1022200,32572
1331,1022301,27477
1332,1022302,21635
1333,1022400,20355
1334,1022500,38205
1335,1022600,37656
1336,1022700,42289
1337,1022800,33863
1338,1022900,37018
1339,1023000,26745
1340,1023100,38786
1341,1023200,22932
1342,1023300,35278
1343,1023400,41343
1344,1023501,38158
1345,1023502,23500
1346,1023600,38481
1347,1023700,34925
1348,1023801,74109
1349,1023802,101691
1350,1023900,23375
1351,1024000,-
1352,1024100,43805
1353,1024200,21250
1354,1024301,27604
1355,1024302,18720
1356,1024500,33860
1357,1024700,35417
1358,1024900,31200
1359,1025100,37905
1360,1025300,33975
1361,1025500,39059
1362,1025700,54310
1363,1025900,52774
1364,1026100,30313
1365,1026300,26604
1366,1026500,44458
1367,1026700,37000
1368,1026900,27324
1369,1027100,42178
1370,1027300,70644
1371,1027500,85139
1372,1027700,27218
1373,1027900,38994
1374,1028100,81563
1375,1028300,38502
1376,1028500,31514
1377,1028700,50816
1378,1029100,34387
1379,1029300,34070
1380,1029500,59341
1381,1029700,-
1382,1029900,25121
1383,1030300,51757
1384,1030700,62139
1385,1030900,34354
1386,1031100,-
1387,1031703,188144
1388,1031704,149364
1389,1031900,-
1390,4000100,123929
1391,4000200,47531
1392,4000400,60651
1393,4000600,49375
1394,4000700,62031
1395,4000800,60169
1396,4001000,56029
1397,4001200,54821
1398,4001400,59079
1399,4001600,49792
1400,4001800,48393
1401,4001900,81731
1402,4002000,55759
